USE_ID,CATCH_TYPE,USE_DESC
8416,HIGH_COED,Ku-ring-gai HS
8161,HIGH_BOYS,Randwick BHS
8539,HIGH_COED,SSC Blackwattle Bay
8400,HIGH_COED,St Ives HS
8555,HIGH_COED,Rose Bay SC
8556,CENTRAL_HIGH,Alexandria Park CS
8913,HIGH_COED,Inner Sydney HS
8286,HIGH_COED,Mt Annan HS
8584,HIGH_COED,Elizabeth Macarthur HS
8290,HIGH_COED,John Edmondson HS
8916,HIGH_COED,Oran Park HS
8575,HIGH_COED,Robert Townson HS
8569,HIGH_COED,Eagle Vale HS
8435,HIGH_COED,Turramurra HS
8220,HIGH_GIRLS,Randwick GHS
8922,HIGH_COED,Jerrabomberra HS
8524,HIGH_COED,Karabar HS
8919,HIGH_COED,Bungendore HS
2899,PRIMARY,Port Macquarie PS
4411,PRIMARY,Westport PS
8116,HIGH_COED,Goulburn HS
4400,PRIMARY,St Ives Park PS
8216,HIGH_COED,Queanbeyan HS
4331,PRIMARY,St Ives PS
4524,PRIMARY,Hastings PS
8554,HIGH_COED,HSC Westport
8364,HIGH_COED,HSC Port Macquarie
8395,HIGH_COED,Pendle Hill HS
8892,HIGH_COED,Arthur Phillip HS
8135,HIGH_COED,Parramatta HS
2838,PRIMARY,Parklea PS
2404,PRIMARY,Lindfield EPS
4393,PRIMARY,Carlingford WPS
4615,PRIMARY,Caddies Ck  PS
3918,PRIMARY,Killara PS
3396,PRIMARY,Waterfall PS
2304,PRIMARY,Kincumber PS
5148,INFANTS,Bardwell Park IS
4257,PRIMARY,Ryde EPS
4398,PRIMARY,Chertsey Primary School
4286,PRIMARY,Camden SPS
1537,PRIMARY,Cawdor PS
4218,PRIMARY,Gosford EPS
3986,PRIMARY,Yennora PS
4461,PRIMARY,Guise PS
3765,PRIMARY,Bundeena PS
3944,PRIMARY,Beverly Hls NPS
3948,PRIMARY,Tempe PS
2003,PRIMARY,Glenhaven PS
4496,PRIMARY,Dulwich Hill PS
7414,PRIMARY,Darlinghurst PS
1146,PRIMARY,Baryulgil PS
1372,PRIMARY,Bronte PS
2061,PRIMARY,Sth Grafton PS
4640,PRIMARY,Sherwood Ridge PS
4599,PRIMARY,Barnier PS
4572,PRIMARY,John Purchase PS
4250,PRIMARY,Randwick PS
3952,PRIMARY,Marrickville PS
4355,PRIMARY,Smithfield WPS
4563,PRIMARY,William Stimson PS
2744,PRIMARY,Newtown NPS
4580,PRIMARY,Kariong PS
1839,PRIMARY,Empire Bay PS
1498,PRIMARY,Brisbania PS
4050,PRIMARY,Point Clare PS
3534,PRIMARY,Table Top PS
1019,PRIMARY,Albury WPS
3352,PRIMARY,Walla Walla PS
3042,PRIMARY,Sawtell PS
4504,PRIMARY,Crawford PS
3735,PRIMARY,Woronora River PS
3743,PRIMARY,Riverwood PS
3748,PRIMARY,Belrose PS
3696,PRIMARY,Soldiers Pt PS
2901,PRIMARY,Prestons PS
4621,PRIMARY,Narellan Vale PS
2206,PRIMARY,Ingleburn PS
4064,PRIMARY,Macquarie Fields PS
4481,PRIMARY,St Andrews PS
1003,PRIMARY,Abermain PS
4516,PRIMARY,Eastlakes PS
2723,PRIMARY,Tomaree PS
4184,PRIMARY,Lennox Head PS
4510,PRIMARY,Claymore PS
2360,PRIMARY,Lakemba PS
2741,PRIMARY,Newrybar PS
2274,PRIMARY,Kellyville PS
2279,PRIMARY,Kempsey WPS
3968,PRIMARY,Speers Pt PS
7424,PRIMARY,Liverpool PS
4034,PRIMARY,Eleebana PS
4185,PRIMARY,Valentine PS
2054,PRIMARY,Goulburn EPS
2193,PRIMARY,Rathmines PS
1762,PRIMARY,Dora Ck  PS
2621,PRIMARY,Morisset PS
4316,PRIMARY,Mannering Park PS
4515,PRIMARY,Kambora PS
4405,PRIMARY,Beresford Rd PS
4400,PRIMARY,St Ives Park PS
3522,PRIMARY,Wyee PS
1482,PRIMARY,Camden PS
4498,PRIMARY,Minnamurra PS
1206,PRIMARY,Berridale PS
3877,PRIMARY,Corrimal EPS
2066,PRIMARY,Granville SPS
2586,PRIMARY,Mogo PS
3479,PRIMARY,Wolumla PS
4221,PRIMARY,Loftus PS
1628,PRIMARY,Cooma PS
1898,PRIMARY,Fairy Meadow PS
4208,PRIMARY,Fennell Bay PS
1007,PRIMARY,Adaminaby PS
3988,PRIMARY,Biraban PS
1904,PRIMARY,Fassifern PS
4017,PRIMARY,Booragul PS
1129,PRIMARY,Banora Pt PS
4507,PRIMARY,Bonnet Bay PS
4509,PRIMARY,Sarah Redfern PS
